customer_id,snapshot_date,recency_days,frequency_90d,monetary_90d,tenure_days,distinct_products_90d,avg_basket_value_90d,return_rate_90d,churn_label_180d,propensity_label_30d
12346,2010-03-01,33,9.0,203.5,76,2.0,22.61111111111111,0.1,0,1
12349,2010-03-01,86,0.0,0.0,86,0.0,0.0,1.0,0,0
12358,2010-03-01,82,1.0,1429.83,82,17.0,1429.83,0.0,0,0
12359,2010-03-01,74,2.0,838.89,85,34.0,419.445,0.05555555555555555,0,1
12360,2010-03-01,6,1.0,118.00000000000001,6,10.0,118.00000000000001,0.0,0,1
12361,2010-03-01,33,1.0,109.19999999999999,33,7.0,109.19999999999999,0.0,0,0
12362,2010-03-01,89,1.0,130.0,89,1.0,130.0,0.0,1,0
12370,2010-03-01,19,1.0,562.96,19,25.0,562.96,0.0,0,1
12373,2010-03-01,24,1.0,437.90000000000003,24,21.0,437.90000000000003,0.0,0,1
12380,2010-03-01,13,2.0,3017.3,13,52.0,1508.65,0.018867924528301886,0,1
12382,2010-03-01,33,0.0,0.0,33,0.0,0.0,1.0,1,0
12389,2010-03-01,6,1.0,164.85,6,6.0,164.85,0.0,0,0
12391,2010-03-01,6,2.0,750.49,13,49.0,375.245,0.0,0,0
12396,2010-03-01,25,1.0,931.43,25,65.0,931.43,0.0,1,0
12402,2010-03-01,21,1.0,191.7,21,11.0,191.7,0.0,0,0
12404,2010-03-01,33,1.0,63.24,33,1.0,63.24,0.0,1,0
12406,2010-03-01,48,1.0,881.2,48,25.0,881.2,0.0,0,0
12416,2010-03-01,7,1.0,202.56,7,11.0,202.56,0.0,1,0
12417,2010-03-01,46,3.0,722.15,84,45.0,240.71666666666667,0.02127659574468085,0,1
12422,2010-03-01,14,2.0,737.25,72,20.0,368.625,0.0,0,0
12424,2010-03-01,82,0.0,0.0,83,0.0,0.0,1.0,0,0
12426,2010-03-01,13,1.0,762.48,13,47.0,762.48,0.0,1,0
12431,2010-03-01,44,2.0,1120.27,44,57.0,560.135,0.0,0,1
12435,2010-03-01,88,1.0,1008.0,88,1.0,1008.0,0.0,0,1
12437,2010-03-01,19,4.0,3073.67,88,132.0,768.4175,0.05063291139240506,0,1
12439,2010-03-01,33,2.0,1158.18,76,69.0,579.09,0.04,1,0
12440,2010-03-01,68,1.0,568.51,68,21.0,568.51,0.0,1,0
12443,2010-03-01,83,1.0,485.31,83,21.0,485.31,0.0,1,0
12454,2010-03-01,33,0.0,0.0,33,0.0,0.0,1.0,1,0
12455,2010-03-01,72,1.0,1636.43,72,89.0,1636.43,0.0,0,1
12466,2010-03-01,33,1.0,56.73,33,1.0,56.73,0.0,1,0
12468,2010-03-01,33,1.0,441.23,40,26.0,441.23,0.07142857142857142,0,0
12470,2010-03-01,40,1.0,211.95,40,23.0,211.95,0.0,1,0
12471,2010-03-01,0,14.0,5193.86,88,67.0,370.98999999999995,0.12552301255230125,0,1
12472,2010-03-01,5,3.0,2333.96,81,109.0,777.9866666666667,0.07971014492753623,0,1
12474,2010-03-01,17,1.0,158.7,17,13.0,158.7,0.0,0,0
